Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20071127,39.87906623,82.65543638,59.37120593
20071128,39.87389027,82.49009722,58.8566303
20071129,39.84129154,82.25710958,58.77262086
20071130,39.70116992,82.11871065,58.65731723
20071203,39.64427845,81.91464256,58.19629122
20071204,39.49920129,81.55030956,58.27984136
20071205,39.42127234,80.42968516,58.08199847
20071206,39.4534703,80.01961579,57.47390229
20071207,39.361331,80.16416941,57.7139585
20071210,39.38926075,80.6773247,58.02694958
20071211,39.32783856,80.69228758,57.75538758
20071212,39.36863306,80.38831977,57.82711902
20071213,39.39473328,80.5134382,57.8970022
20071214,39.37023614,79.91533706,57.17532029
20071217,39.52533659,79.81175556,56.94164527
20071218,39.52939539,79.8188894,57.03849431
20071219,39.59472911,79.48423438,57.00990984
20071220,39.46442338,78.58627759,56.68008578
20071221,39.4218755,78.44283151,56.74129926
20071224,39.34105499,78.00270895,56.69585072
20071227,39.31316132,78.39753855,57.11997856
20071228,39.37334312,78.82604192,57.90103369
20071231,39.3621095,79.11521939,57.99877026
20080102,39.37860524,78.12403223,57.89300581
20080103,39.3556671,78.05551696,58.11533248
20080104,39.17619977,77.54702259,57.74836656
20080107,39.2621171,77.56063114,57.85929373
20080108,39.22223536,77.569024,57.72985681
20080109,39.19314238,76.95077037,57.58896224
20080110,39.22891621,76.85983434,57.57084861
20080111,39.22603266,76.89931369,58.07702831
20080114,39.21794611,76.96041725,58.46937556
20080115,39.24463145,77.32234053,58.4738082
20080116,39.21132737,77.02341085,58.05525625
20080117,39.24509735,77.36887546,57.70851197
20080118,39.28128498,77.14898272,57.69488413
20080121,39.53920527,77.13956959,57.31385012
20080122,39.46424704,77.11938299,57.25259554
20080123,39.66456949,77.46406711,57.86082409
20080124,39.5360512,77.72100139,58.02554457
20080125,39.34120428,78.01388071,57.90496289
20080128,39.35562402,78.25513782,58.12314776
20080129,39.36276677,78.37009773,58.20461495
20080130,39.36896569,78.53118728,58.35958163
20080131,39.41286917,78.48330804,58.66136076
20080201,39.18066637,77.9277962,58.39026609
20080204,39.17897712,77.54317027,58.15245629
20080205,39.53291216,77.93081085,58.11986239
20080206,39.51262412,77.43690718,57.82505514
20080207,39.47518108,76.87227415,57.56479736
20080208,39.60318638,77.26864769,57.52947769
20080211,39.69101638,77.44917143,57.77227471
