caldt,vwretd,ewretd
20011204,0.013202,0.019574
20011205,0.022691,0.027741
20011206,-0.002598,0.000118
20011207,-0.007555,-0.007970
20011210,-0.015738,-0.015198
20011211,-0.002868,-0.000903
20011212,0.000496,-0.001001
20011213,-0.015539,-0.014946
20011214,0.003273,0.001255
20011217,0.010135,0.006467
20011218,0.007709,0.011749
20011219,0.006001,0.001697
20011220,-0.008195,-0.009449
20011221,0.004235,0.004962
20011224,-0.000287,0.003746
20011226,0.004121,0.005875
20011227,0.006949,0.008538
20011228,0.003306,0.006594
20011231,-0.011116,-0.007443
20020102,0.005898,0.002355
20020103,0.009306,0.009306
20020104,0.006247,0.009781
20020107,-0.006476,-0.003607
20020108,-0.003318,-0.003919
20020109,-0.004713,-0.002991
20020110,0.001232,-0.002687
20020111,-0.009368,-0.009929
20020114,-0.006209,-0.009742
20020115,0.006758,0.004769
20020116,-0.016415,-0.018712
20020117,0.010414,0.009456
20020118,-0.009909,-0.008180
20020122,-0.007227,-0.007920
20020123,0.007628,0.012442
20020124,0.003452,0.008465
20020125,0.001021,0.004016
20020128,-0.000207,0.001440
20020129,-0.028606,-0.022677
20020130,0.011892,0.010500
20020131,0.015061,0.014818
20020201,-0.007371,-0.005580
20020204,-0.024551,-0.023561
20020205,-0.003882,-0.008169
20020206,-0.006016,-0.008487
20020207,-0.002897,-0.002967
20020208,0.014955,0.015843
20020211,0.014354,0.018677
20020212,-0.003956,-0.002509
20020213,0.010340,0.010279
20020214,-0.001707,-0.002880
20020215,-0.011077,-0.007854
20020219,-0.018810,-0.020827
20020220,0.013757,0.010853
20020221,-0.015566,-0.011678
20020222,0.007934,0.005057
20020225,0.018069,0.018551
20020226,0.000002,0.006357
20020227,0.000890,0.000584
20020228,-0.002858,-0.003966
20020301,0.022751,0.019545
20020304,0.019576,0.027274
20020305,-0.006701,-0.002796
20020306,0.014598,0.016768
20020307,-0.004533,-0.001849
20020308,0.005946,0.007378
20020311,0.003259,0.004416
20020312,-0.002261,-0.004300
20020313,-0.009669,-0.009876
20020314,-0.000854,0.000961
20020315,0.011431,0.009658
20020318,-0.000650,0.002232
20020319,0.004117,0.005109
20020320,-0.015796,-0.012855
20020321,0.001608,0.002565
20020322,-0.004151,-0.004640
